其他频道,#genre#
BTV冬奥纪实,http://111.225.112.26:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://111.225.112.26:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://111.225.112.26:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://111.225.112.26:808/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共,http://111.225.112.26:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定新闻综合,http://111.225.112.26:808/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
公共,http://123.163.114.11:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://111.225.112.26:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
新闻,http://123.163.114.11:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
梨园,http://123.163.114.11:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
民生,http://123.163.114.11:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://111.225.112.26:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://111.225.112.26:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教,http://111.225.112.26:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧,http://111.225.112.26:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活,http://111.225.112.26:808/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://111.225.112.26:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
法制,http://123.163.114.11:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
移动戏曲,http://123.163.114.11:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://111.225.112.26:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
都市,http://123.163.114.11:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://111.225.112.26:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
2024-10-13更新,#genre#
